layer,group_idx,avg_scale,weight_variance
0,0,0.010598396882414818,0.00028160083456896245
0,1,0.010626088827848434,0.00028249857132323086
0,2,0.010690017603337765,0.0002843865077011287
0,3,0.010697122663259506,0.00028577432385645807
0,4,0.010707344859838486,0.0002847591822501272
0,5,0.01068199798464775,0.0002861199900507927
0,6,0.010757502168416977,0.0002854446938727051
0,7,0.010726128704845905,0.0002861730463337153
0,8,0.01076453272253275,0.0002885025751311332
0,9,0.010763173922896385,0.00029015878681093454
0,10,0.01078829262405634,0.00028991446015425026
0,11,0.010737333446741104,0.0002891869517043233
0,12,0.01082872599363327,0.00029094729688949883
0,13,0.010720307938754559,0.0002897916128858924
0,14,0.010789796710014343,0.00029118708334863186
0,15,0.010854702442884445,0.00029263985925354064
0,16,0.01083932351320982,0.00029147829627618194
0,17,0.0108881164342165,0.00029411891591735184
0,18,0.010849284008145332,0.0002937191165983677
0,19,0.010856393724679947,0.0002934816584456712
0,20,0.010927649214863777,0.00029771964182145894
0,21,0.010883470997214317,0.0002954406663775444
0,22,0.010897327214479446,0.00029829860432073474
0,23,0.010961810126900673,0.00029801001073792577
0,24,0.010904049500823021,0.0002988524211104959
0,25,0.011041224002838135,0.00030344061087816954
0,26,0.010975109413266182,0.0002996406692545861
0,27,0.01100068911910057,0.0003023263125214726
0,28,0.01110021024942398,0.00030410688486881554
0,29,0.011063488200306892,0.00030636691371910274
0,30,0.011249203234910965,0.00031277950620278716
0,31,0.011127624660730362,0.00030971161322668195
0,32,0.011246822774410248,0.0003109766694251448
0,33,0.011180335655808449,0.00031054511782713234
0,34,0.011229850351810455,0.0003127628588117659
0,35,0.011310659348964691,0.0003155623853672296
0,36,0.011300161480903625,0.00031763393781147897
0,37,0.011295373551547527,0.00031708701862953603
0,38,0.011512616649270058,0.0003225277177989483
0,39,0.01144457422196865,0.0003265813284087926
0,40,0.011416077613830566,0.00032536033540964127
0,41,0.011403599753975868,0.0003259719524066895
0,42,0.011470349505543709,0.00032949718297459185
1,0,0.010966494679450989,0.00030282497755251825
1,1,0.010974083095788956,0.0003015688853338361
1,2,0.010960638523101807,0.00030244726804085076
1,3,0.011027481406927109,0.00030188399250619113
1,4,0.011112010106444359,0.00030478561529889703
1,5,0.010962655767798424,0.0003029995714314282
1,6,0.010956525802612305,0.00030293717281892896
1,7,0.010982215404510498,0.0003033685788977891
1,8,0.010968001559376717,0.0003024236357305199
1,9,0.011033687740564346,0.00030396966030821204
1,10,0.011009476147592068,0.0003020262811332941
1,11,0.010988633148372173,0.00030271385912783444
1,12,0.010980946943163872,0.0003026436606887728
1,13,0.011010479182004929,0.0003008171624969691
1,14,0.010953230783343315,0.0003033189568668604
1,15,0.010971511714160442,0.00030266796238720417
1,16,0.01099538803100586,0.0003024378966074437
1,17,0.011022971011698246,0.0003032235545106232
1,18,0.01101052388548851,0.0003028512292075902
1,19,0.010987594723701477,0.00030263091321103275
1,20,0.010979820042848587,0.00030430773040279746
1,21,0.010971896350383759,0.0003030229127034545
1,22,0.011094838380813599,0.0003039390139747411
1,23,0.010990876704454422,0.00030295574106276035
1,24,0.010996886529028416,0.0003028457285836339
1,25,0.011022117920219898,0.000302839616779238
1,26,0.010956445708870888,0.00030325728585012257
1,27,0.011061180382966995,0.0003024959587492049
1,28,0.010967562906444073,0.0003032434906344861
1,29,0.011001083999872208,0.00030290265567600727
1,30,0.011103687807917595,0.0003053797408938408
1,31,0.010984798893332481,0.0003044758050236851
1,32,0.011005785316228867,0.00030390580650418997
1,33,0.011034461669623852,0.00030483739101327956
1,34,0.014908582903444767,0.0003563380450941622
1,35,0.011049647815525532,0.0003032446838915348
1,36,0.011027514934539795,0.000304434826830402
1,37,0.01535113900899887,0.00035682119778357446
1,38,0.011284206062555313,0.00030970285297371447
1,39,0.011039145290851593,0.000305116584058851
1,40,0.012473497539758682,0.0003388118639122695
1,41,0.011027850210666656,0.0003087860532104969
1,42,0.011126736178994179,0.0003111069090664387
2,0,0.011067124083638191,0.00030969330691732466
2,1,0.011025666259229183,0.00030697521287947893
2,2,0.011101583950221539,0.00030954196699894965
2,3,0.011045794934034348,0.0003095148131251335
2,4,0.011083634570240974,0.00030962153687141836
2,5,0.011085998266935349,0.0003092611441388726
2,6,0.01119654905050993,0.0003111109836027026
2,7,0.011109951883554459,0.00031083551584742963
2,8,0.011092564091086388,0.00030941166914999485
2,9,0.011115540750324726,0.00031149163260124624
